name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
Eco friendly and cosy garden apt - Prime Location!,Ozge,Beyoglu,41.03136,28.98635,Entire home/apt,555,2,2,0.23,88,,
Cosy Flat at the Center of ISTANBUL,Feride,Sisli,41.0613,28.99495,Entire home/apt,343,2,31,0.31,342,,
Bright and characterful in Galata!,Julia & Tarkan,Beyoglu,41.02625,28.97276,Entire home/apt,1152,2,89,0.89,351,,
"Sunny Flat for Room Price, Taksim",Serkan,Sisli,41.045,28.9863,Entire home/apt,343,2,2,0.02,90,,
Furnished Flats & Historical Room,Hülya,Sisli,41.05458,28.98672,Private room,274,1,0,,365,,
"Room minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",Bãśmä,Fatih,41.01077,28.94512,Private room,96,2,152,1.47,90,,
only 10 minutes to Sultanahmet,Tayfun,Fatih,41.0248,28.94738,Entire home/apt,384,7,0,,365,,
Charming Delightful Studio@Centre 3,Demir,Beyoglu,41.02669,28.97594,Entire home/apt,213,28,143,1.39,362,,
"Galateia Apartments,1 BR up to 4",Galateia,Beyoglu,41.02961,28.97643,Entire home/apt,1310,30,0,,365,,
Girls Sharing room غرفة للبنات  TRAM STREET,Bãśmä,Fatih,41.01143,28.94603,Shared room,69,2,79,0.80,180,,
Standard Suites,Emre,Kadikoy,40.99259,29.02534,Entire home/apt,295,3,28,0.58,339,,
Spacious Family Apt in Kadiköy,Emre,Kadikoy,40.99462,29.02552,Entire home/apt,501,3,8,0.18,321,,
1+1 65m2 Deluxe Suitler,Emre,Kadikoy,40.99295,29.02656,Entire home/apt,343,3,46,0.50,362,,
Asian Side Apartment with SEA VIEW,Birim,Kadikoy,40.97555,29.0431,Entire home/apt,679,4,0,,1,,
Terrace Bosphorus Sea View Taksim,Maria,Beyoglu,41.03392,28.98927,Entire home/apt,1227,2,261,2.53,1,,
"cozy quite home, in the center ",Asimo,Beyoglu,41.03207,28.98052,Entire home/apt,576,7,0,,365,,
"Furnished luxury apartment, Galata",Zeynep,Beyoglu,41.02485,28.97338,Entire home/apt,768,3,64,0.65,359,,
Design chic serviced apt in Galata.,Zeynep,Beyoglu,41.02485,28.97338,Entire home/apt,768,3,33,0.34,288,,
Modern serviced flat in Galata,Zeynep,Beyoglu,41.02485,28.97338,Entire home/apt,768,3,165,1.68,345,,
Modern chic serviced apt in Galata,Zeynep,Beyoglu,41.02485,28.97338,Entire home/apt,768,3,66,0.66,343,,
Charming Delightful Room@Centre,Demir,Beyoglu,41.02922,28.97593,Private room,103,11,8,0.08,348,,
"top location,bright & cozy 2bdr apt",Özge,Beyoglu,41.02841,28.97202,Entire home/apt,768,1,57,0.57,358,,
Lovely Room at the heart of İSTANBL,Feride,Sisli,41.06208,28.99426,Private room,137,1,10,0.10,342,,
CENTRAL&SAFETY Location Bright Room,Feride,Sisli,41.06202,28.99549,Private room,137,2,58,0.59,342,,
2 bedr apart 5 mins from Airport ,Mehmet Emin,Bahcelievler,40.99144,28.84474,Entire home/apt,686,3,4,0.12,363,,
